endTime,artistName,trackName,msPlayed
2022-01-11 02:57,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),0
2022-01-11 02:57,Eve,Kaikai Kitan,0
2022-01-11 02:57,Tory Lanez,Jerry Sprunger (with T-Pain),0
2022-01-11 02:57,Yinka Bernie,It's Okay to Cry,1490
2022-01-11 02:57,Tevin Terrell,Be Forreal,14998
2022-01-11 02:57,JAY-Z,Young Forever,890
2022-01-11 02:59,The Kid LAROI,STAY (with Justin Bieber),141805
2022-01-11 03:01,SEB,seaside_demo,132000
2022-01-11 03:08,Show Dem Camp,Do Me Nice,257684
2022-01-11 03:10,Kina,Get You The Moon (feat. Snøw),1480
2022-01-11 03:10,Phora,colorblind,117190
2022-01-11 03:10,Warren G,Super Soul Sis,960
2022-01-11 03:11,Juice WRLD,Screw Juice,0
2022-01-11 03:11,Reekado Banks,Ozumba Mbadiwe,0
2022-01-11 03:11,Kanye West,Never Let Me Down,940
2022-01-11 03:11,Lil Wayne,Nightmares Of The Bottom,0
2022-01-11 03:11,Kevo Muney,Leave Some Day,0
2022-01-11 03:11,Junip,Line of Fire,90
2022-01-11 03:11,Tate McRae,you broke me first,240
2022-01-11 03:11,Adam Christopher,Iris - Acoustic,610
2022-01-11 03:11,Bedroom,In My Head,0
2022-01-11 03:11,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,0
2022-01-11 03:11,Hozier,Angel Of Small Death & The Codeine Scene,0
2022-01-11 03:11,Tony22,Earth Boy,0
2022-01-11 03:11,Show Dem Camp,Flex On You,1610
2022-01-11 03:11,Wizkid,Anoti,670
2022-01-11 03:11,Her's,What Once Was,0
2022-01-11 03:11,Tems,Free Mind,1100
2022-01-11 03:11,明星 <Akeboshi>,Wind,0
2022-01-11 03:11,Pop Smoke,Mood Swings (feat. Lil Tjay),0
2022-01-11 03:11,2Pac,Hit 'Em Up - Single Version,900
2022-01-11 03:11,Verzache,All I Need,40
2022-01-11 03:11,Rema,Peace Of Mind,1610
